date,lat,lon,place_name,product_name,price,unit,quote_id
"Apr 10, 2020",35.2271,-80.8431,"Charlotte, North Carolina",methamphetamine (powder/crystal),$50,1/8oz (8-ball) rock/crystal,365142
"Apr 9, 2020",35.2271,-80.8431,"Charlotte, North Carolina",Xanax,$10,1mg pill,365017
"Apr 14, 2020",37.7749,-122.4194,"San Francisco, California",Adderall (generic),$20,10mg pill,365521
"Apr 13, 2020",37.7749,-122.4194,"San Francisco, California",generic Klonopin,$3,2mg pill,365427
"Apr 12, 2020",37.7749,-122.4194,"San Francisco, California",morphine ER pill,$20,30mg pill,365291
"Apr 12, 2020",37.7749,-122.4194,"San Francisco, California",Dilaudid tablet (generic),$20,4mg pill,365277
"Apr 10, 2020",37.7749,-122.4194,"San Francisco, California",Ambien,$10,10mg pill,365121
"Apr 9, 2020",37.7749,-122.4194,"San Francisco, California",Ativan,$7,2mg pill,365046
"Apr 9, 2020",37.7749,-122.4194,"San Francisco, California",Ativan,$7,2mg pill,365044
"Apr 9, 2020",37.7749,-122.4194,"San Francisco, California",Ativan,$7,2mg pill,365043
"Apr 9, 2020",37.7749,-122.4194,"San Francisco, California",Ativan,$6,2mg pill,365041
"Apr 7, 2020",37.7749,-122.4194,"San Francisco, California",Vyvanse,$10,40mg pill,364817
"Apr 5, 2020",37.7749,-122.4194,"San Francisco, California",Adderall,$11,20mg pill,364607
"Apr 14, 2020",36.7070,-97.0856,"Ponca City, Oklahoma",Seroquel,$4,100mg pill,365520
"Apr 14, 2020",36.7070,-97.0856,"Ponca City, Oklahoma",generic Klonopin,$2,0.5mg pill,365519
"Apr 14, 2020",39.3995,-84.5613,"Hamilton oh, Ohio",generic Valium,$10,10mg pill,365518
"Apr 8, 2020",39.3995,-84.5613,"Hamilton oh, Ohio",Vyvanse,$11.20,40mg pill,364950
"Apr 14, 2020",33.7490,-84.3880,"Atlanta, Georgia",Viagra,$16,100mg pill,365517
"Apr 12, 2020",33.7490,-84.3880,"Atlanta, Georgia",Adderall XR,$3,30mg pill,365349
"Apr 12, 2020",33.7490,-84.3880,"Atlanta, Georgia",Adderall,$10,15mg pill,365294
"Apr 12, 2020",33.7490,-84.3880,"Atlanta, Georgia",oxycodone,$200,2.44mg/325mg pill,365263
"Apr 10, 2020",33.7490,-84.3880,"Atlanta, Georgia",Adderall,$7,20mg pill,365111
"Apr 9, 2020",33.7490,-84.3880,"Atlanta, Georgia",Percocet,$10,10mg/650mg pill,365064
"Apr 6, 2020",33.7490,-84.3880,"Atlanta, Georgia",Dilaudid tablet,$5,4mg pill,364702
"Apr 3, 2020",33.7490,-84.3880,"Atlanta, Georgia","oxycodone / acetaminophen tablet (generic Percocet, Percodan, Tylox)",$10,10mg/325mg pill,364431
"Apr 3, 2020",33.7490,-84.3880,"Atlanta, Georgia",methadone wafer/disc,$20,40mg ,364418
"Apr 3, 2020",33.7490,-84.3880,"Atlanta, Georgia",Adderall,$10,15mg pill,364363
"Apr 2, 2020",33.7490,-84.3880,"Atlanta, Georgia",morphine ER pill,$10,30mg pill,364271
"Apr 2, 2020",33.7490,-84.3880,"Atlanta, Georgia",morphine ER pill,$10,30mg pill,364269
"Apr 14, 2020",47.4272,-92.9377,"Hibbing, Minnesota",oxycodone pill,$10,5mg pill,365516
"Apr 14, 2020",39.2904,-76.6122,"Baltimore City, Maryland",Viagra,$1,100mg pill,365515
"Apr 11, 2020",39.2904,-76.6122,"Baltimore City, Maryland",Adderall XR,$5,5mg pill,365214
"Apr 9, 2020",39.2904,-76.6122,"Baltimore City, Maryland",Adderall,$15,30mg pill,365020
"Apr 3, 2020",39.2904,-76.6122,"Baltimore City, Maryland",Adderall,$3,10mg pill,364412
"Apr 14, 2020",41.8500,-88.3126,"Batavia, Illinois",Vyvanse,$5,50mg pill,365513
"Apr 3, 2020",41.8500,-88.3126,"Batavia, Illinois",Adderall,$10,30mg pill,364370
"Apr 14, 2020",41.4995,-81.6954,"Cleveland ohio, Ohio",Adderall,$3,10mg pill,365512
"Apr 11, 2020",41.4995,-81.6954,"Cleveland ohio, Ohio","oxycodone / acetaminophen tablet (generic Percocet, Percodan, Tylox)",$5,5mg/325mg pill,365244
"Apr 14, 2020",35.6180,-118.4731,"Lake Isabella, California",Suboxone (film),$20,8mg/2mg film,365511
"Apr 14, 2020",41.7001,-71.4162,"Warwick, Rhode Island",Adderall,$6,20mg pill,365510
"Apr 13, 2020",41.7001,-71.4162,"Warwick, Rhode Island",tadalafil,$20,20mg pill,365366
"Apr 14, 2020",39.9523,-75.1638,"Philadelphia Pennsylvania, Pennsylvania",morphine injection,$10,1mg/mL syrup/liquid,365509
"Apr 8, 2020",39.9523,-75.1638,"Philadelphia Pennsylvania, Pennsylvania",temazepam,$3,15mg pill,364943
"Apr 7, 2020",39.9523,-75.1638,"Philadelphia Pennsylvania, Pennsylvania",dextroamphetamine,$0.50,15mg pill,364836
"Apr 4, 2020",39.9523,-75.1638,"Philadelphia Pennsylvania, Pennsylvania",hydroxychloroquine,$10,200mg pill,364520
"Apr 2, 2020",39.9523,-75.1638,"Philadelphia Pennsylvania, Pennsylvania",Valium,$3,10mg pill,364335
"Apr 14, 2020",30.2947,-81.3931,"Jacksonville Beach, Florida",hydrocodone/acetaminophen tablet (generic Vicodin),$5,7.5mg/325mg pill,365508
"Apr 1, 2020",30.2947,-81.3931,"Jacksonville Beach, Florida",pregabalin,$5,75mg pill,364110
"Apr 14, 2020",43.0046,-75.4981,New York,Adderall,$5,20mg pill,365500
"Apr 13, 2020",43.0046,-75.4981,New York,generic Klonopin,$5,2mg pill,365467
"Apr 12, 2020",43.0046,-75.4981,New York,Adderall,$20,30mg pill,365359
"Apr 12, 2020",43.0046,-75.4981,New York,Adderall,$20,30mg pill,365343
"Apr 11, 2020",43.0046,-75.4981,New York,Adderall (generic),$15,20mg pill,365242
"Apr 11, 2020",43.0046,-75.4981,New York,Adderall,$10,10mg pill,365236
"Apr 8, 2020",43.0046,-75.4981,New York,buspirone,$5,15mg pill,364929
"Apr 8, 2020",43.0046,-75.4981,New York,dextroamphetamine,$30,15mg pill,364869
"Apr 6, 2020",43.0046,-75.4981,New York,Demerol,$30,50mg pill,364683
"Apr 5, 2020",43.0046,-75.4981,New York,Phenobarbital tablet,$10,97.5mg pill,364634
"Apr 5, 2020",43.0046,-75.4981,New York,methadone,$10,10mg pill,364600
"Apr 3, 2020",43.0046,-75.4981,New York,Vyvanse,$30,70mg pill,364429
"Apr 3, 2020",43.0046,-75.4981,New York,Vyvanse,$30,70mg pill,364428
"Apr 2, 2020",43.0046,-75.4981,New York,Adderall (generic),$2,15mg pill,364305
"Apr 1, 2020",43.0046,-75.4981,New York,generic Xanax,$4,1mg pill,364163
"Apr 14, 2020",30.3322,-81.6557,"Jacksonville, Florida",hydrocodone/acetaminophen tablet (generic Vicodin),$3,5mg/325mg pill,365497
"Apr 9, 2020",30.3322,-81.6557,"Jacksonville, Florida",tramadol,$2,50mg pill,365053
"Apr 8, 2020",30.3322,-81.6557,"Jacksonville, Florida",Viagra,$8,100mg pill,364859
"Apr 6, 2020",30.3322,-81.6557,"Jacksonville, Florida",gabapentin,$5,600mg pill,364717
"Apr 2, 2020",30.3322,-81.6557,"Jacksonville, Florida",Adderall,$6,30mg pill,364247
"Apr 1, 2020",30.3322,-81.6557,"Jacksonville, Florida",methadone  tablet,$7,10mg pill,364203
"Apr 1, 2020",30.3322,-81.6557,"Jacksonville, Florida",pregabalin,$2,75mg pill,364178
"Apr 14, 2020",42.2331,-84.3272,"Jackson Michigan, Michigan",buspirone,$4,30mg pill,365496
"Apr 14, 2020",43.2129,-75.4557,"Rome, New York",methylphenidate ER tablet (generic Ritalin LA),$15,27mg pill,365493
"Apr 14, 2020",32.2217,-110.9265,"Tucson, Arizona",gabapentin,$3,800mg pill,365492
"Apr 14, 2020",32.2217,-110.9265,"Tucson, Arizona",gabapentin,$5,800mg pill,365489
"Apr 13, 2020",32.2217,-110.9265,"Tucson, Arizona",heroin (black tar),$34,1g tar,365411
"Apr 11, 2020",32.2217,-110.9265,"Tucson, Arizona",methadone oral solution,$20,5mg/5mL (500mL bottle) syrup/liquid,365164
"Apr 2, 2020",32.2217,-110.9265,"Tucson, Arizona",Dilaudid tablet,$50,8mg pill,364266
"Apr 14, 2020",33.4484,-112.0740,"Phoenix Arizona, Arizona",Apo-Oxycodone CR (imprinted APO OCD),$5,5mg pill,365491
